STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,MINUTE,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LONGITUD,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOURNAME,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,FATALS,DRUNK_DR,DATETIME
24,Maryland,240001,2,2,0,1,3,3,1,25,HARFORD (25),0,NOT APPLICABLE,7,1,January,2019,2,Monday,5,55,0,This section IS NOT on the NHS,3,State Highway,SR-24,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,17,17,39.43294167,-76.30585833,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,1,0,2019-01-07 05:55:00
24,Maryland,240002,3,3,0,0,3,3,0,43,WASHINGTON (43),0,NOT APPLICABLE,3,1,January,2019,5,Thursday,6,43,1,This section IS ON the NHS,1,Interstate,I-70,2,Urban,1,Interstate,1,State Highway Agency,317,317,39.59993056,-77.68295833,0,No Special Jurisdiction,21,Bridge Pier or Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,4,Dawn,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,1,0,2019-01-03 06:43:00
24,Maryland,240003,2,2,0,1,4,4,1,33,PRINCE GEORGE`S (33),0,NOT APPLICABLE,6,1,January,2019,1,Sunday,15,30,0,This section IS NOT on the NHS,3,State Highway,SR-650,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,30,30,39.00425,-76.98086111,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,1,0,2019-01-06 15:30:00
24,Maryland,240004,1,1,0,1,1,1,1,43,WASHINGTON (43),0,NOT APPLICABLE,1,1,January,2019,3,Tuesday,12,21,0,This section IS NOT on the NHS,6,Local Street - Municipality,MU-1810,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,2,2,39.66225278,-77.70461944,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,1,On Roadway,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,1,0,2019-01-01 12:21:00
24,Maryland,240005,2,2,0,0,2,2,0,5,BALTIMORE (5),0,NOT APPLICABLE,5,1,January,2019,7,Saturday,23,39,1,This section IS ON the NHS,1,Interstate,I-83,2,Urban,1,Interstate,1,State Highway Agency,143,143,39.60868611,-76.65775,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),26,Prior Non-Recurring Incident,1,0,2019-01-05 23:39:00
24,Maryland,240006,1,1,0,0,1,1,0,5,BALTIMORE (5),0,NOT APPLICABLE,12,1,January,2019,7,Saturday,14,40,1,This section IS ON the NHS,1,Interstate,I-83,2,Urban,1,Interstate,1,State Highway Agency,0,None,39.37275833,-76.65310833,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,On Median,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,1,0,2019-01-12 14:40:00
24,Maryland,240007,1,1,0,0,1,1,0,3,ANNE ARUNDEL (3),0,NOT APPLICABLE,9,1,January,2019,4,Wednesday,5,38,1,This section IS ON the NHS,1,Interstate,I-97,2,Urban,1,Interstate,1,State Highway Agency,26,26,39.00807778,-76.60893611,0,No Special Jurisdiction,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,On Median,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,1,0,2019-01-09 05:38:00
24,Maryland,240008,1,1,0,0,2,2,0,43,WASHINGTON (43),0,NOT APPLICABLE,17,1,January,2019,5,Thursday,1,12,0,This section IS NOT on the NHS,2,U.S. Highway,US-40,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,365,365,39.63925278,-77.71428056,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,1,1,2019-01-17 01:12:00
24,Maryland,240009,2,2,0,0,3,3,0,31,MONTGOMERY (31),0,NOT APPLICABLE,22,1,January,2019,3,Tuesday,7,49,0,This section IS NOT on the NHS,3,State Highway,SR-27,1,Rural,4,Minor Arterial,1,State Highway Agency,88,88,39.32453889,-77.19638056,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,1,0,2019-01-22 07:49:00
24,Maryland,240010,2,2,0,0,2,2,0,43,WASHINGTON (43),0,NOT APPLICABLE,22,1,January,2019,3,Tuesday,5,42,0,This section IS NOT on the NHS,2,U.S. Highway,US-40,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,None,39.65335,-77.75867778,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,1,0,2019-01-22 05:42:00
